,Date,Caught,Rounds,C,W,Alpha_normal,Gamma_normal,Alpha_reveal,Gamma_reveal,Coverage,Comments
59,21/08/2023,TRUE,20,0.2,50,0.5,0.9,0.5,0.9,0.112375258,Sens_med_alpha
60,21/08/2023,FALSE,24,0.2,50,0.5,0.9,0.5,0.9,0.140234567,Sens_med_alpha
61,21/08/2023,FALSE,24,0.2,50,0.5,0.9,0.5,0.9,0.154234567,Sens_med_alpha
62,21/08/2023,FALSE,24,0.2,50,0.5,0.9,0.5,0.9,0.13856789,Sens_med_alpha
63,21/08/2023,TRUE,15,0.2,50,0.5,0.9,0.5,0.9,0.103775258,Sens_med_alpha
64,21/08/2023,FALSE,24,0.2,50,0.5,0.9,0.5,0.9,0.14154321,Sens_med_alpha
65,21/08/2023,FALSE,24,0.2,50,0.5,0.9,0.5,0.9,0.158654321,Sens_med_alpha
66,21/08/2023,TRUE,9,0.2,50,0.5,0.9,0.5,0.9,0.037858979,Sens_med_alpha
67,22/08/2023,FALSE,24,0.2,50,0.5,0.9,0.5,0.9,0.150123456,Sens_med_alpha
68,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.143215678,Sens_low_gamma
69,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.155678901,Sens_low_gamma
70,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.132456789,Sens_low_gamma
71,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.138907654,Sens_low_gamma
72,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.142345678,Sens_low_gamma
73,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.153456789,Sens_low_gamma
74,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.136789012,Sens_low_gamma
75,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.140234567,Sens_low_gamma
76,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.156789012,Sens_low_gamma
77,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.137890123,Sens_low_gamma
78,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.151234567,Sens_low_gamma
79,22/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.139012345,Sens_low_gamma
80,23/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.13456789,Sens_low_gamma
81,23/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.148901234,Sens_low_gamma
82,23/08/2023,FALSE,24,0.2,50,0.1,0.1,0.5,0.1,0.146789012,Sens_low_gamma
83,23/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.138765432,Sens_med_gamma
84,23/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.139876543,Sens_med_gamma
85,23/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.137654321,Sens_med_gamma
86,23/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.140123456,Sens_med_gamma
87,23/08/2023,TRUE,12,0.2,50,0.1,0.5,0.5,0.5,0.082345678,Sens_med_gamma
88,23/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.148765432,Sens_med_gamma
89,23/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.142345678,Sens_med_gamma
90,23/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.145678901,Sens_med_gamma
91,24/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.138901234,Sens_med_gamma
92,24/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.139012345,Sens_med_gamma
93,24/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.147654321,Sens_med_gamma
94,24/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.13654321,Sens_med_gamma
95,24/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.140234567,Sens_med_gamma
96,24/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.135987654,Sens_med_gamma
97,24/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.5,0.139456789,Sens_med_gamma
98,24/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.148765432,Sens_coverage_reward
99,24/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.147654321,Sens_coverage_reward
100,24/08/2023,TRUE,11,0.2,50,0.1,0.9,0.5,0.9,0.11454321,Sens_coverage_reward
101,24/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.154321987,Sens_coverage_reward
102,24/08/2023,TRUE,10,0.2,50,0.1,0.9,0.5,0.9,0.11826989,Sens_coverage_reward
103,24/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.153210987,Sens_coverage_reward
104,25/08/2023,TRUE,4,0.2,50,0.1,0.9,0.5,0.9,0.036876543,Sens_coverage_reward
105,25/08/2023,TRUE,12,0.2,50,0.1,0.9,0.5,0.9,0.133456789,Sens_coverage_reward
106,25/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.157654321,Sens_coverage_reward
107,25/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.146789012,Sens_coverage_reward
108,25/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.148901234,Sens_coverage_reward
109,25/08/2023,TRUE,19,0.2,50,0.1,0.9,0.5,0.9,0.145678901,Sens_coverage_reward
110,25/08/2023,TRUE,5,0.2,50,0.1,0.9,0.5,0.9,0.040123456,Sens_coverage_reward
111,25/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.151234567,Sens_coverage_reward
112,25/08/2023,FALSE,4,0.2,50,0.1,0.9,0.5,0.9,0.137890123,Sens_coverage_reward
113,26/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.137654321,Sens_loc_cat
