,Date,Caught,Rounds,C,W,Alpha_normal,Gamma_normal,Alpha_reveal,Gamma_reveal,Coverage,Comments
0,08/09/2023,FALSE,24,0.2,50,0.1,0.9,0.1,0.9,0.128865979,Normal
1,08/14/2023,TRUE,3,0.2,50,0.1,0.9,0.1,0.9,0.025773196,Normal
2,08/14/2023,FALSE,24,0.2,50,0.1,0.9,0.1,0.9,0.145665979,Normal
3,08/15/2023,TRUE,4,0.2,50,0.1,0.9,0.1,0.9,0.033505155,Normal-loc_cat_reward
4,08/15/2023,FALSE,24,0.2,50,0.1,0.9,0.1,0.9,0.144329897,Normal-loc_cat_reward
5,08/15/2023,TRUE,9,0.2,50,0.1,0.9,0.1,0.9,0.069587629,Normal-loc_cat_reward
6,08/17/2023,TRUE,9,0.2,50,0.1,0.9,0.1,0.9,0.069587629,Normal-loc_cat_reward
7,08/17/2024,FALSE,24,0.2,50,0.1,0.9,0.1,0.9,0.144329897,Normal-coverage_reward
8,08/17/2023,TRUE,7,0.2,50,0.1,0.9,0.1,0.9,0.051546392,Normal-coverage_reward
9,08/17/2023,TRUE,15,0.2,50,0.1,0.9,0.1,0.9,0.111546392,Normal-coverage_reward
10,08/17/2024,FALSE,24,0.2,50,0.1,0.9,0.1,0.9,0.167329897,Normal-coverage_reward
11,08/20/2024,FALSE,24,0.2,50,0.1,0.9,0.1,0.9,0.145687698,Normal-loc_cat_reward
12,08/20/2024,TRUE,6,0.2,50,0.1,0.9,0.1,0.9,0.051546392,Normal-coverage_reward
13,08/20/2023,TRUE,4,0.2,50,0.1,0.9,0.1,0.9,0.030927835,Normal-location_reward
14,08/20/2023,TRUE,1,0.2,50,0.1,0.9,0.1,0.9,0.010309278,Normal-location_reward
15,08/20/2023,TRUE,19,0.2,50,0.1,0.9,0.1,0.9,0.095360825,Normal-location_reward
16,08/20/2023,False,24,0.2,50,0.1,0.9,0.1,0.9,0.1365979381443299,Results_data
17,08/21/2023,False,24,0.2,50,0.1,0.9,0.1,0.9,0.14432989690721648,Results_data
18,08/21/2023,True,4,0.2,50,0.1,0.9,0.1,0.9,0.03608247422680412,Results_data
19,08/21/2023,False,24,0.2,50,0.1,0.9,0.1,0.9,0.15721649484536082,Results_data
20,08/21/2023,True,8,0.2,50,0.1,0.9,0.1,0.9,0.061855670103092786,Results_data
21,08/21/2023,False,24,0.2,50,0.1,0.9,0.1,0.9,0.13144329896907217,Results_data
