,origin,destination,transport,value
0,120.0,121.0,2.0,1.732924272714281
1,120.0,144.0,2.0,0.0
2,121.0,145.0,2.0,2.073180378603301
3,121.0,120.0,2.0,0.0
4,121.0,122.0,2.0,0.0
5,122.0,123.0,0.0,1.1664395766722209
6,122.0,144.0,0.0,0.0
7,122.0,121.0,2.0,0.0
8,122.0,123.0,2.0,0.0
9,122.0,146.0,2.0,0.0
10,123.0,124.0,0.0,0.0
11,123.0,122.0,0.0,0.0
12,123.0,144.0,0.0,0.0
13,123.0,165.0,0.0,0.0
14,123.0,124.0,2.0,0.0
15,123.0,122.0,2.0,0.0
16,123.0,137.0,2.0,0.0
17,123.0,148.0,2.0,0.0
18,123.0,149.0,2.0,0.0
19,124.0,123.0,0.0,0.0
20,124.0,153.0,0.0,4.62694880698055e-05
21,124.0,111.0,0.0,0.0
22,124.0,138.0,2.0,0.0
23,124.0,123.0,2.0,0.0
24,124.0,111.0,2.0,0.0
25,144.0,163.0,0.0,0.0
26,144.0,122.0,0.0,0.0
27,144.0,145.0,2.0,0.0
28,144.0,120.0,2.0,0.0
29,144.0,177.0,2.0,0.0
30,145.0,121.0,2.0,0.3296630362926174
31,145.0,146.0,2.0,9.555497043061453e-05
32,145.0,144.0,2.0,0.0
33,146.0,122.0,2.0,0.0
34,146.0,147.0,2.0,0.0
35,146.0,163.0,2.0,0.0
36,146.0,122.0,2.0,0.0
37,147.0,146.0,2.0,0.0
38,147.0,137.0,2.0,0.0
39,147.0,164.0,2.0,0.0
40,137.0,123.0,2.0,0.0
41,137.0,147.0,2.0,0.0
42,163.0,144.0,0.0,0.0
43,163.0,191.0,0.0,0.0
44,163.0,176.0,0.0,0.0
45,163.0,153.0,1.0,0.0
46,163.0,111.0,1.0,0.0
47,163.0,146.0,2.0,0.0
48,163.0,178.0,2.0,0.0
49,163.0,177.0,2.0,0.0
50,163.0,144.0,2.0,0.0
51,164.0,178.0,2.0,0.0
52,164.0,147.0,2.0,0.0
53,164.0,148.0,2.0,0.0
54,164.0,179.0,2.0,0.0
55,148.0,149.0,2.0,0.0
56,148.0,123.0,2.0,0.0
57,148.0,164.0,2.0,0.0
58,165.0,180.0,0.0,0.0
59,165.0,191.0,0.0,0.0
60,165.0,123.0,0.0,0.0
61,165.0,179.0,2.0,0.0
62,165.0,180.0,2.0,0.0
63,165.0,151.0,2.0,0.0
64,165.0,149.0,2.0,0.0
65,149.0,148.0,2.0,0.0
66,149.0,150.0,2.0,0.0
67,149.0,123.0,2.0,0.0
68,150.0,138.0,2.0,0.0
69,150.0,149.0,2.0,0.0
70,150.0,151.0,2.0,0.0
71,138.0,124.0,2.0,0.0
72,138.0,150.0,2.0,0.0
73,138.0,152.0,2.0,0.0
74,151.0,152.0,2.0,0.0
75,151.0,165.0,2.0,0.0
76,151.0,166.0,2.0,0.0
77,151.0,150.0,2.0,0.0
78,152.0,138.0,2.0,0.0
79,152.0,153.0,2.0,0.02577319587628866
80,152.0,151.0,2.0,0.0
81,176.0,190.0,0.0,0.0
82,176.0,163.0,0.0,0.0
83,176.0,177.0,2.0,0.0
84,176.0,189.0,2.0,0.0
85,177.0,144.0,2.0,0.0
86,177.0,163.0,2.0,0.0
87,177.0,176.0,2.0,0.0
88,189.0,176.0,2.0,0.0
89,189.0,190.0,2.0,0.0
90,189.0,178.0,2.0,0.0
91,178.0,191.0,2.0,0.0
92,178.0,163.0,2.0,0.0
93,178.0,164.0,2.0,0.0
94,190.0,191.0,0.0,0.0
95,190.0,176.0,0.0,0.0
96,190.0,180.0,0.0,0.0
97,190.0,189.0,2.0,0.0
98,190.0,192.0,2.0,0.0
99,190.0,191.0,2.0,0.0
100,192.0,191.0,2.0,0.0
101,192.0,194.0,2.0,0.0
102,192.0,190.0,2.0,0.0
103,191.0,190.0,0.0,0.0
104,191.0,163.0,0.0,0.0
105,191.0,165.0,0.0,0.0
106,191.0,190.0,2.0,0.0
107,191.0,179.0,2.0,0.0
108,191.0,192.0,2.0,0.0
109,191.0,178.0,2.0,0.0
110,179.0,164.0,2.0,0.0
111,179.0,191.0,2.0,0.0
112,179.0,165.0,2.0,0.0
113,180.0,165.0,0.0,0.0
114,180.0,190.0,0.0,0.0
115,180.0,153.0,0.0,0.00012473832399153314
116,180.0,184.0,0.0,0.0
117,180.0,165.0,2.0,0.0
118,180.0,181.0,2.0,0.0
119,180.0,193.0,2.0,0.0
120,181.0,180.0,2.0,0.0
121,181.0,182.0,2.0,0.0
122,181.0,193.0,2.0,0.0
123,181.0,166.0,2.0,0.0
124,182.0,195.0,2.0,0.0
125,182.0,181.0,2.0,0.0
126,182.0,183.0,2.0,0.0
127,183.0,182.0,2.0,0.0
128,183.0,167.0,2.0,0.0
129,183.0,196.0,2.0,1.0010782145407817
130,183.0,166.0,2.0,0.0
131,166.0,181.0,2.0,0.0
132,166.0,183.0,2.0,0.0
133,166.0,151.0,2.0,0.0
134,166.0,153.0,2.0,0.0
135,153.0,180.0,0.0,0.12886597938144329
136,153.0,154.0,0.0,1.3862420995994316
137,153.0,124.0,0.0,0.24179666044013098
138,153.0,184.0,0.0,0.0
139,153.0,163.0,1.0,0.0
140,153.0,111.0,1.0,0.0
141,153.0,185.0,1.0,0.0
142,153.0,140.0,1.0,0.0
143,153.0,152.0,2.0,0.0
144,153.0,139.0,2.0,0.0
145,153.0,166.0,2.0,0.0
146,153.0,167.0,2.0,0.0
147,167.0,183.0,2.0,1.0981184476963592
148,167.0,168.0,2.0,0.0
149,167.0,153.0,2.0,0.0
150,167.0,155.0,2.0,0.0
151,168.0,167.0,2.0,0.0
152,168.0,155.0,2.0,0.0
153,168.0,184.0,2.0,0.0
154,193.0,194.0,2.0,0.0
155,193.0,180.0,2.0,0.0
156,193.0,181.0,2.0,0.0
157,194.0,193.0,2.0,0.0
158,194.0,195.0,2.0,0.0
159,194.0,192.0,2.0,0.0
160,195.0,182.0,2.0,0.0
161,195.0,194.0,2.0,0.0
162,195.0,197.0,2.0,0.0
163,196.0,197.0,2.0,1.138156272793289
164,196.0,183.0,2.0,0.0
165,196.0,184.0,2.0,8.036549761292022e-05
166,197.0,184.0,2.0,4.458410449364378
167,197.0,196.0,2.0,0.0
168,197.0,195.0,2.0,0.0
169,155.0,168.0,2.0,0.0
170,155.0,156.0,2.0,0.0
171,155.0,154.0,2.0,0.0
172,154.0,153.0,0.0,0.0
173,154.0,140.0,0.0,0.0
174,154.0,156.0,0.0,1.0352435441233254
175,154.0,155.0,2.0,0.0
176,154.0,153.0,2.0,0.0
177,154.0,140.0,2.0,0.0
178,154.0,139.0,2.0,0.0
179,139.0,153.0,2.0,0.0
180,139.0,130.0,2.0,0.0
181,139.0,140.0,2.0,0.0
182,139.0,154.0,2.0,0.0
183,130.0,131.0,2.0,0.0
184,130.0,124.0,2.0,0.0
185,130.0,139.0,2.0,0.0
186,131.0,125.0,2.0,0.17899751121677396
187,131.0,130.0,2.0,0.0
188,131.0,114.0,2.0,0.0
189,125.0,131.0,2.0,7.527867048587263e-05
190,125.0,112.0,2.0,0.0
191,125.0,113.0,2.0,0.0
192,111.0,124.0,0.0,1.0864285700691199
193,111.0,100.0,0.0,0.0
194,111.0,153.0,1.0,0.0
195,111.0,163.0,1.0,0.0
196,111.0,112.0,2.0,0.0
197,111.0,124.0,2.0,0.0
198,156.0,157.0,0.0,0.956614425859319
199,156.0,154.0,0.0,0.6001347440158686
200,156.0,140.0,0.0,0.0
201,156.0,184.0,0.0,0.0
202,156.0,169.0,2.0,0.0
203,156.0,155.0,2.0,0.0
204,156.0,157.0,2.0,0.0
205,156.0,140.0,2.0,0.0
206,169.0,184.0,2.0,0.819745991162013
207,169.0,156.0,2.0,0.0
208,184.0,156.0,0.0,0.4381443298969072
209,184.0,185.0,0.0,0.0
210,184.0,180.0,0.0,0.0
211,184.0,153.0,0.0,0.00010952698858458089
212,184.0,168.0,2.0,0.0
213,184.0,196.0,2.0,0.0
214,184.0,197.0,2.0,6.09696891733021
215,184.0,185.0,2.0,0.0
216,184.0,169.0,2.0,0.00012014233283305317
217,185.0,184.0,0.0,1.6967254601256454
218,185.0,157.0,0.0,0.7694237569167142
219,185.0,187.0,0.0,0.0
220,185.0,153.0,1.0,0.00012809569145602956
221,185.0,128.0,1.0,0.0
222,185.0,170.0,2.0,0.0
223,185.0,184.0,2.0,0.0
224,185.0,186.0,2.0,0.00033124933750198755
225,198.0,186.0,2.0,0.0
226,198.0,159.0,2.0,0.0
227,198.0,187.0,2.0,1.1523271329766434
228,198.0,199.0,2.0,0.0
229,186.0,159.0,2.0,3.0759948308395866
230,186.0,185.0,2.0,0.0
231,186.0,198.0,2.0,0.0
232,170.0,157.0,2.0,1.1395655537854683
233,170.0,159.0,2.0,0.0
234,170.0,185.0,2.0,0.0
235,157.0,185.0,0.0,6.3180087057246785
236,157.0,156.0,0.0,7.466379920708537e-05
237,157.0,133.0,0.0,0.0
238,157.0,142.0,0.0,0.00011791928103161915
239,157.0,158.0,2.0,0.0
240,157.0,170.0,2.0,0.0
241,157.0,156.0,2.0,0.0
242,140.0,154.0,0.0,0.0
243,140.0,133.0,0.0,0.0
244,140.0,156.0,0.0,0.0
245,140.0,153.0,1.0,0.0
246,140.0,128.0,1.0,0.0
247,140.0,133.0,2.0,0.0
248,140.0,154.0,2.0,0.0
249,140.0,156.0,2.0,0.0
250,140.0,132.0,2.0,0.0
251,132.0,114.0,2.0,0.0
252,132.0,140.0,2.0,0.0
253,112.0,111.0,2.0,1.1517189090747477
254,112.0,100.0,2.0,0.0
255,112.0,125.0,2.0,0.0
256,113.0,100.0,2.0,0.0
257,113.0,125.0,2.0,0.0
258,113.0,114.0,2.0,0.0
259,100.0,111.0,0.0,0.0
260,100.0,112.0,2.0,0.0
261,100.0,113.0,2.0,0.0
262,100.0,101.0,2.0,0.0
263,101.0,114.0,2.0,0.0
264,101.0,100.0,2.0,0.0
265,114.0,131.0,2.0,0.09895174942887186
266,114.0,115.0,2.0,0.0
267,114.0,126.0,2.0,0.0
268,114.0,132.0,2.0,0.0
269,114.0,113.0,2.0,0.0
270,114.0,101.0,2.0,0.0
271,126.0,114.0,2.0,0.0
272,126.0,115.0,2.0,0.9793675999988735
273,126.0,140.0,2.0,0.4381443298969072
274,126.0,127.0,2.0,0.0
275,115.0,126.0,2.0,0.3865979381443299
276,115.0,127.0,2.0,0.0
277,115.0,114.0,2.0,0.0
278,104.0,116.0,2.0,0.0
279,88.0,117.0,2.0,0.0
280,105.0,108.0,0.0,0.18041237113402062
281,105.0,107.0,0.0,0.0
282,105.0,108.0,2.0,0.0
283,105.0,106.0,2.0,0.0
284,106.0,107.0,2.0,0.0
285,106.0,105.0,2.0,0.0
286,107.0,105.0,0.0,0.07731958762886598
287,107.0,161.0,0.0,0.0
288,107.0,106.0,2.0,0.0
289,107.0,119.0,2.0,0.0
290,119.0,108.0,2.0,0.0
291,119.0,136.0,2.0,0.0
292,119.0,107.0,2.0,0.0
293,108.0,105.0,0.0,0.0
294,108.0,135.0,0.0,0.0
295,108.0,116.0,0.0,0.4144881323304041
296,108.0,105.0,2.0,0.0
297,108.0,117.0,2.0,0.0
298,108.0,119.0,2.0,0.0
299,117.0,129.0,2.0,0.0
300,117.0,116.0,2.0,1.27479076685919
301,117.0,108.0,2.0,0.0
302,117.0,88.0,2.0,0.0
303,116.0,142.0,0.0,0.0
304,116.0,127.0,0.0,0.00011949214140023343
305,116.0,108.0,0.0,0.7538036958409986
306,116.0,117.0,2.0,0.0
307,116.0,127.0,2.0,0.0
308,116.0,118.0,2.0,0.0
309,116.0,104.0,2.0,0.0
310,127.0,116.0,0.0,0.0
311,127.0,133.0,0.0,6.487119895345318e-05
312,127.0,133.0,2.0,0.5447629894559498
313,127.0,134.0,2.0,0.0
314,127.0,116.0,2.0,0.0
315,127.0,115.0,2.0,0.30927835051546393
316,127.0,126.0,2.0,0.00010039836787314324
317,133.0,140.0,0.0,0.07481941217645963
318,133.0,127.0,0.0,0.0
319,133.0,157.0,0.0,0.0
320,133.0,141.0,2.0,0.0
321,133.0,140.0,2.0,0.0
322,133.0,127.0,2.0,0.6163572401383793
323,199.0,128.0,0.0,0.0
324,199.0,161.0,0.0,0.0
325,199.0,188.0,2.0,1.4461384308276588
326,199.0,171.0,2.0,0.0
327,199.0,198.0,2.0,0.0
328,171.0,173.0,2.0,0.0
329,171.0,199.0,2.0,0.0
330,171.0,175.0,2.0,1.9139853262158006
331,175.0,174.0,2.0,0.0
332,175.0,162.0,2.0,0.0
333,175.0,171.0,2.0,0.0
334,162.0,136.0,2.0,0.0
335,162.0,175.0,2.0,0.0
336,136.0,162.0,2.0,0.0
337,136.0,135.0,2.0,0.0
338,136.0,119.0,2.0,0.0
339,135.0,161.0,0.0,0.0
340,135.0,128.0,0.0,0.0
341,135.0,108.0,0.0,0.0
342,135.0,143.0,2.0,0.0
343,135.0,129.0,2.0,0.0
344,135.0,161.0,2.0,0.0
345,135.0,136.0,2.0,0.0
346,129.0,117.0,2.0,1.538911481315767
347,129.0,135.0,2.0,0.0
348,129.0,118.0,2.0,0.0
349,129.0,143.0,2.0,0.0
350,129.0,142.0,2.0,0.0
351,118.0,134.0,2.0,0.11089511030037123
352,118.0,116.0,2.0,0.0
353,118.0,129.0,2.0,0.0
354,118.0,142.0,2.0,0.0
355,134.0,127.0,2.0,0.600374585404191
356,134.0,141.0,2.0,0.0
357,134.0,142.0,2.0,0.0
358,134.0,118.0,2.0,0.0
359,141.0,133.0,2.0,0.0
360,141.0,158.0,2.0,0.9952340512056289
361,141.0,134.0,2.0,0.0
362,141.0,142.0,2.0,0.0
363,158.0,157.0,2.0,0.97364362948897
364,158.0,142.0,2.0,0.5632816625206357
365,158.0,159.0,2.0,2.285456768101828
366,158.0,141.0,2.0,0.0
367,159.0,186.0,2.0,3.3433769301030987
368,159.0,198.0,2.0,0.0
369,159.0,170.0,2.0,5.889922994189467e-05
370,159.0,158.0,2.0,0.0
371,159.0,172.0,2.0,0.0
372,187.0,185.0,0.0,0.0
373,187.0,128.0,0.0,6.39053959700008e-05
374,187.0,172.0,2.0,0.0
375,187.0,198.0,2.0,1.2843411462123504
376,187.0,188.0,2.0,0.0
377,188.0,199.0,2.0,2.5370871127344836
378,188.0,187.0,2.0,0.0003450985189838954
379,188.0,173.0,2.0,0.0
380,188.0,128.0,2.0,0.0
381,173.0,188.0,2.0,1.3300605318758714
382,173.0,171.0,2.0,0.0
383,173.0,160.0,2.0,0.0
384,173.0,174.0,2.0,0.0
385,174.0,175.0,2.0,0.0
386,174.0,173.0,2.0,0.0
387,174.0,161.0,2.0,0.0
388,161.0,128.0,0.0,1.2378387961362152
389,161.0,135.0,0.0,0.0
390,161.0,199.0,0.0,0.0
391,161.0,107.0,0.0,0.0
392,161.0,160.0,2.0,0.0
393,161.0,136.0,2.0,0.0
394,161.0,135.0,2.0,0.0
395,161.0,174.0,2.0,0.0
396,160.0,128.0,2.0,0.0
397,160.0,143.0,2.0,0.0
398,160.0,173.0,2.0,0.0
399,160.0,161.0,2.0,0.0
400,128.0,187.0,0.0,0.0
401,128.0,142.0,0.0,0.8939868424740377
402,128.0,161.0,0.0,2.3636729243655634
403,128.0,199.0,0.0,0.0
404,128.0,135.0,0.0,0.0
405,128.0,140.0,1.0,0.0
406,128.0,185.0,1.0,0.0
407,128.0,172.0,2.0,0.0
408,128.0,188.0,2.0,0.0
409,128.0,160.0,2.0,0.0
410,128.0,143.0,2.0,0.0
411,128.0,142.0,2.0,8.564607567623583e-05
412,143.0,135.0,2.0,0.0
413,143.0,142.0,2.0,0.0
414,143.0,160.0,2.0,0.0
415,143.0,128.0,2.0,1.2227610708272691
416,142.0,128.0,0.0,0.5226857121946739
417,142.0,157.0,0.0,1.7048437594549997
418,142.0,116.0,0.0,0.0
419,142.0,158.0,2.0,0.6395015489751773
420,142.0,134.0,2.0,0.47368792362240664
421,142.0,118.0,2.0,0.0
422,142.0,141.0,2.0,0.0
423,142.0,129.0,2.0,0.0
424,142.0,143.0,2.0,0.0
425,142.0,128.0,2.0,0.0
426,172.0,159.0,2.0,0.0
